PWM,Corriente_ADC,Corriente_real(A)
165,117,0.365
165,117,0.365
165,117,0.365
165,117,0.365
165,118,0.365
165,117,0.365
165,117,0.365
165,117,0.365
165,118,0.365
165,117,0.365
165,117,0.365
165,117,0.365
165,117,0.365
165,117,0.365
165,117,0.365
165,117,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,117,0.365
165,117,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,117,0.365
165,117,0.365
165,118,0.365
165,118,0.365
165,117,0.365
165,117,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
165,118,0.365
180,134,0.389
180,133,0.389
180,133,0.389
180,133,0.389
180,133,0.389
180,133,0.389
180,133,0.389
180,133,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,131,0.389
180,131,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,131,0.389
180,131,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,132,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,132,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,132,0.389
180,132,0.389
180,132,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,132,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,132,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,130,0.389
180,130,0.389
180,130,0.389
180,130,0.389
180,130,0.389
180,130,0.389
180,131,0.389
180,131,0.389
180,131,0.389
180,130,0.389
180,130,0.389
180,130,0.389
180,130,0.389
180,130,0.389
180,130,0.389
180,129,0.389
180,130,0.389
180,130,0.389
180,130,0.389
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,138,0.416
195,138,0.416
195,138,0.416
195,137,0.416
195,137,0.416
195,138,0.416
195,138,0.416
195,138,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,138,0.416
195,138,0.416
195,138,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
195,137,0.416
